,school,sat_total_25th_75th_percentile,act_total_25th_75th_percentile
394,United States Merchant Maritime Academy,1200-1340,25-31
395,Howard University,1140-1285,22-27
396,Florida State University,1200-1340,26-30
397,Hillsdale College,1275-1465,29-32
398,University of Central Florida,1160-1340,25-29
399,University of Florida,1280-1440,27-32
400,University of South Florida,1170-1330,25-29
401,Gallaudet University,793-1078,15-20
402,Florida International,1240-1300,23-28
403,Morehouse College,1010-1210,20-25
404,University of Alabama,1060-1280,23-31
405,Milwaukee School of Engineering,--,25-30
406,Florida Institute of Technology,1150-1360,24-30
407,Louisiana State University—​Baton Rouge,1080-1310,23-29
408,The Citadel,1050-1230,20-25
409,New College of Florida,1220-1420,26-31
410,Thomas Aquinas College,1220-1400,25-30
411,University of Texas Rio Grande Valley,950-1130,17-22
412,University of South Dakota,990-1180,19-25
413,University of Mississippi,1050-1270,21-29
414,University of Wyoming,1060-1280,22-28
415,University of Texas El Paso,820-1050,17-23
